ts,kama_L,ceo_L,ceo_S,TXF_abs,TXF_caa
2025-11-14 00:00:00,0.0,0.0,0.0,27695,27695
2025-11-14 00:30:00,0.0,0.0,0.0,27618,27618
2025-11-14 01:00:00,0.0,0.0,0.0,27600,27600
2025-11-14 01:30:00,0.0,0.0,0.0,27656,27656
2025-11-14 02:00:00,0.0,0.0,0.0,27559,27559
2025-11-14 02:30:00,0.0,0.0,0.0,27497,27497
2025-11-14 03:00:00,0.0,0.0,0.0,27493,27493
2025-11-14 03:30:00,0.0,0.0,0.0,27540,27540
2025-11-14 04:00:00,0.0,0.0,0.0,27476,27476
2025-11-14 04:30:00,0.0,0.0,0.0,27477,27477
2025-11-14 05:00:00,0.0,0.0,0.0,27467,27467
2025-11-14 09:00:00,0.0,0.0,0.0,27440,27440
2025-11-14 09:30:00,0.0,0.0,0.0,27425,27425
2025-11-14 10:00:00,0.0,0.0,0.0,27486,27486
2025-11-14 10:30:00,0.0,0.0,0.0,27499,27499
2025-11-14 11:00:00,0.0,0.0,0.0,27568,27568
2025-11-14 11:30:00,0.0,0.0,0.0,27562,27562
2025-11-14 12:00:00,0.0,0.0,0.0,27558,27558
2025-11-14 12:30:00,0.0,0.0,0.0,27447,27447
2025-11-14 13:00:00,0.0,0.0,0.0,27436,27436
2025-11-14 13:30:00,0.0,0.0,0.0,27402,27402
2025-11-14 14:00:00,0.0,0.0,-2.0,27401,27401
2025-11-14 15:30:00,0.0,0.0,99.0,27302,27302
2025-11-14 16:00:00,0.0,0.0,-27.0,27329,27329
2025-11-14 16:30:00,0.0,0.0,54.0,27275,27275
2025-11-14 17:00:00,0.0,0.0,-37.0,27312,27312
2025-11-14 17:30:00,0.0,0.0,3.0,27309,27309
2025-11-14 18:00:00,0.0,0.0,23.0,27286,27286
2025-11-14 18:30:00,0.0,0.0,-17.0,27303,27303
2025-11-14 19:00:00,0.0,0.0,13.0,27290,27290
2025-11-14 19:30:00,0.0,0.0,102.0,27188,27188
2025-11-14 20:00:00,0.0,0.0,54.0,27134,27134
2025-11-14 20:30:00,0.0,0.0,56.0,27078,27078
2025-11-14 21:00:00,0.0,0.0,35.0,27043,27043
2025-11-14 21:30:00,0.0,0.0,30.0,27013,27013
2025-11-14 22:00:00,0.0,0.0,-13.0,27026,27026
2025-11-14 22:30:00,0.0,0.0,-11.0,27037,27037
2025-11-14 23:00:00,0.0,-2.0,-257.0,27292,27292
2025-11-14 23:30:00,0.0,78.0,0.0,27370,27370
2025-11-15 00:00:00,0.0,114.0,0.0,27484,27484
2025-11-15 00:30:00,-2.0,87.0,0.0,27571,27571
2025-11-15 01:00:00,7.0,7.0,0.0,27578,27578
2025-11-15 01:30:00,-6.0,-6.0,0.0,27572,27572
2025-11-15 02:00:00,-41.0,-41.0,0.0,27531,27531
2025-11-15 02:30:00,-47.0,-47.0,0.0,27484,27484
2025-11-15 03:00:00,-12.0,-12.0,0.0,27472,27472
2025-11-15 03:30:00,47.0,47.0,0.0,27519,27519
2025-11-15 04:00:00,11.0,11.0,0.0,27530,27530
2025-11-15 04:30:00,-50.0,-50.0,0.0,27480,27480
2025-11-15 05:00:00,10.0,10.0,0.0,27490,27490
2025-11-17 09:00:00,152.0,152.0,0.0,27642,27642
2025-11-17 09:30:00,-11.0,-11.0,0.0,27631,27631
2025-11-17 10:00:00,-77.0,-77.0,0.0,27554,27554
2025-11-17 10:30:00,-58.0,-58.0,0.0,27496,27496
2025-11-17 11:00:00,119.0,119.0,0.0,27615,27615
2025-11-17 11:30:00,-42.0,-42.0,0.0,27573,27573
2025-11-17 12:00:00,-20.0,-20.0,0.0,27553,27553
2025-11-17 12:30:00,-2.0,-2.0,0.0,27551,27551
2025-11-17 13:00:00,-55.0,-55.0,0.0,27496,27496
2025-11-17 13:30:00,2.0,4.0,0.0,27500,27500
2025-11-17 14:00:00,0.0,-21.0,0.0,27479,27479
2025-11-17 15:30:00,0.0,44.0,0.0,27523,27523
2025-11-17 16:00:00,0.0,-15.0,0.0,27508,27508
2025-11-17 16:30:00,0.0,36.0,0.0,27544,27544
2025-11-17 17:00:00,0.0,-2.0,0.0,27542,27542
2025-11-17 17:30:00,0.0,-31.0,0.0,27511,27511
2025-11-17 18:00:00,0.0,-44.0,0.0,27467,27467
2025-11-17 18:30:00,0.0,-50.0,0.0,27417,27417
2025-11-17 19:00:00,0.0,-84.0,-2.0,27335,27335
2025-11-17 19:30:00,0.0,0.0,-49.0,27384,27384
2025-11-17 20:00:00,0.0,0.0,-9.0,27393,27393
2025-11-17 20:30:00,0.0,0.0,46.0,27347,27347
2025-11-17 21:00:00,0.0,0.0,2.0,27345,27345
2025-11-17 21:30:00,0.0,0.0,29.0,27316,27316
2025-11-17 22:00:00,0.0,0.0,-20.0,27336,27336
2025-11-17 22:30:00,0.0,0.0,61.0,27275,27275
2025-11-17 23:00:00,0.0,0.0,-207.0,27482,27482
2025-11-17 23:30:00,0.0,0.0,19.0,27463,27463
2025-11-18 00:00:00,0.0,0.0,69.0,27394,27394
2025-11-18 00:30:00,0.0,0.0,40.0,27354,27354
2025-11-18 01:00:00,0.0,0.0,-137.0,27491,27491
2025-11-18 01:30:00,0.0,0.0,43.0,27448,27448
2025-11-18 02:00:00,0.0,0.0,128.0,27320,27320
2025-11-18 02:30:00,0.0,0.0,-9.0,27329,27329
2025-11-18 03:00:00,0.0,0.0,107.0,27222,27222
2025-11-18 03:30:00,0.0,0.0,-8.0,27230,27230
2025-11-18 04:00:00,0.0,0.0,141.0,27089,27089
2025-11-18 04:30:00,0.0,0.0,-8.0,27097,27097
2025-11-18 05:00:00,0.0,0.0,-78.0,27175,27175
2025-11-18 09:00:00,0.0,0.0,27.0,27148,27148
2025-11-18 09:30:00,0.0,0.0,100.0,27048,27048
2025-11-18 10:00:00,0.0,0.0,-180.0,27228,27228
2025-11-18 10:30:00,0.0,0.0,144.0,27084,27084
2025-11-18 11:00:00,0.0,0.0,179.0,26905,26905
2025-11-18 11:30:00,0.0,0.0,45.0,26860,26860
2025-11-18 12:00:00,0.0,0.0,-6.0,26866,26866
2025-11-18 12:30:00,0.0,0.0,72.0,26794,26794
2025-11-18 13:00:00,0.0,0.0,-38.0,26832,26832
2025-11-18 13:30:00,0.0,0.0,4.0,26828,26828
2025-11-18 14:00:00,0.0,0.0,23.0,26805,26805
2025-11-18 15:30:00,0.0,0.0,2.0,26803,26803
2025-11-18 16:00:00,0.0,0.0,-21.0,26824,26824
2025-11-18 16:30:00,0.0,0.0,-70.0,26894,26894
2025-11-18 17:00:00,0.0,0.0,-21.0,26915,26915
2025-11-18 17:30:00,0.0,0.0,-3.0,26918,26918
2025-11-18 18:00:00,0.0,0.0,-25.0,26943,26943
2025-11-18 18:30:00,0.0,0.0,32.0,26911,26911
2025-11-18 19:00:00,0.0,0.0,-41.0,26952,26952
2025-11-18 19:30:00,0.0,0.0,25.0,26927,26927
2025-11-18 20:00:00,0.0,0.0,46.0,26881,26881
2025-11-18 20:30:00,0.0,0.0,66.0,26815,26815
2025-11-18 21:00:00,0.0,0.0,20.0,26795,26795
2025-11-18 21:30:00,0.0,0.0,-75.0,26870,26870
2025-11-18 22:00:00,0.0,0.0,-17.0,26887,26887
2025-11-18 22:30:00,0.0,0.0,14.0,26873,26873
2025-11-18 23:00:00,0.0,0.0,67.0,26806,26806
2025-11-18 23:30:00,0.0,0.0,-38.0,26844,26844
2025-11-19 00:00:00,0.0,0.0,39.0,26805,26805
2025-11-19 00:30:00,0.0,0.0,-122.0,26927,26927
2025-11-19 01:00:00,0.0,0.0,1.0,26926,26926
2025-11-19 01:30:00,0.0,0.0,82.0,26844,26844
2025-11-19 02:00:00,0.0,0.0,-139.0,26983,26983
2025-11-19 02:30:00,0.0,0.0,2.0,26981,26981
2025-11-19 03:00:00,0.0,0.0,11.0,26970,26970
2025-11-19 03:30:00,0.0,0.0,-12.0,26982,26982
2025-11-19 04:00:00,0.0,0.0,-23.0,27005,27005
2025-11-19 04:30:00,0.0,0.0,39.0,26966,26966
2025-11-19 05:00:00,0.0,0.0,60.0,26906,26906
2025-11-19 09:00:00,0.0,0.0,158.0,26748,26748
2025-11-19 09:30:00,0.0,0.0,-110.0,26858,26858
2025-11-19 10:00:00,0.0,0.0,96.0,26762,26762
2025-11-19 10:30:00,0.0,0.0,-48.0,26810,26810
2025-11-19 11:00:00,0.0,0.0,10.0,26800,26800
2025-11-19 11:30:00,0.0,0.0,152.0,26648,26648
2025-11-19 12:00:00,0.0,0.0,76.0,26572,26572
2025-11-19 12:30:00,0.0,0.0,-108.0,26680,26680
2025-11-19 13:00:00,0.0,0.0,84.0,26596,26596
2025-11-19 13:30:00,0.0,0.0,-19.0,26615,26615
2025-11-19 14:00:00,0.0,0.0,20.0,26595,26595
2025-11-19 15:30:00,0.0,0.0,-121.0,26716,26716
2025-11-19 16:00:00,0.0,0.0,0.0,26716,26716
2025-11-19 16:30:00,0.0,0.0,-32.0,26748,26748
2025-11-19 17:00:00,0.0,0.0,31.0,26717,26717
2025-11-19 17:30:00,0.0,0.0,-11.0,26728,26728
2025-11-19 18:00:00,0.0,0.0,-49.0,26777,26777
2025-11-19 18:30:00,0.0,0.0,-14.0,26791,26791
2025-11-19 19:00:00,0.0,0.0,-6.0,26797,26797
2025-11-19 19:30:00,0.0,-2.0,-33.0,26828,26828
2025-11-19 20:00:00,0.0,-13.0,0.0,26815,26815
2025-11-19 20:30:00,0.0,17.0,0.0,26832,26832
2025-11-19 21:00:00,0.0,11.0,0.0,26843,26843
2025-11-19 21:30:00,0.0,-13.0,0.0,26830,26830
2025-11-19 22:00:00,0.0,0.0,0.0,26830,26830
2025-11-19 22:30:00,0.0,-38.0,0.0,26792,26792
2025-11-19 23:00:00,0.0,210.0,0.0,27002,27002
2025-11-19 23:30:00,0.0,43.0,0.0,27045,27045
2025-11-20 00:00:00,0.0,-89.0,0.0,26956,26956
2025-11-20 00:30:00,0.0,-54.0,0.0,26902,26902
2025-11-20 01:00:00,0.0,36.0,0.0,26938,26938
2025-11-20 01:30:00,0.0,-47.0,0.0,26891,26891
2025-11-20 02:00:00,0.0,28.0,0.0,26919,26919
2025-11-20 02:30:00,0.0,-18.0,0.0,26901,26901
2025-11-20 03:00:00,0.0,60.0,0.0,26961,26961
2025-11-20 03:30:00,0.0,-70.0,0.0,26891,26891
2025-11-20 04:00:00,0.0,31.0,0.0,26922,26922
2025-11-20 04:30:00,0.0,100.0,0.0,27022,27022
2025-11-20 05:00:00,0.0,-43.0,0.0,26979,26979
2025-11-20 09:00:00,-2.0,371.0,0.0,27350,27350
2025-11-20 09:30:00,81.0,81.0,0.0,27431,27431
2025-11-20 10:00:00,-114.0,-114.0,0.0,27317,27317
2025-11-20 10:30:00,-80.0,-80.0,0.0,27237,27237
2025-11-20 11:00:00,50.0,50.0,0.0,27287,27287
2025-11-20 11:30:00,159.0,159.0,0.0,27446,27446
2025-11-20 12:00:00,-33.0,-33.0,0.0,27413,27413
2025-11-20 12:30:00,11.0,11.0,0.0,27424,27424
2025-11-20 13:00:00,31.0,31.0,0.0,27455,27455
2025-11-20 13:30:00,13.0,13.0,0.0,27468,27468
2025-11-20 14:00:00,14.0,14.0,0.0,27482,27482
2025-11-20 15:30:00,45.0,45.0,0.0,27527,27527
2025-11-20 16:00:00,-52.0,-52.0,0.0,27475,27475
2025-11-20 16:30:00,13.0,13.0,0.0,27488,27488
2025-11-20 17:00:00,-22.0,-22.0,0.0,27466,27466
2025-11-20 17:30:00,-34.0,-34.0,0.0,27432,27432
2025-11-20 18:00:00,-16.0,-16.0,0.0,27416,27416
2025-11-20 18:30:00,38.0,38.0,0.0,27454,27454
2025-11-20 19:00:00,-8.0,-8.0,0.0,27446,27446
2025-11-20 19:30:00,-42.0,-42.0,0.0,27404,27404
2025-11-20 20:00:00,15.0,15.0,0.0,27419,27419
2025-11-20 20:30:00,-4.0,-4.0,0.0,27415,27415
2025-11-20 21:00:00,34.0,34.0,0.0,27449,27449
2025-11-20 21:30:00,-13.0,-13.0,0.0,27436,27436
2025-11-20 22:00:00,79.0,79.0,0.0,27515,27515
